location,bhk,bathroom,balcony,area_sqft,price_per_sqft,price
Ghaziabad,1,4,0,838,10099,8462962
Gurgaon,5,4,0,2299,13499,31034201
Ghaziabad,2,1,0,2250,7192,16182000
Ghaziabad,3,3,0,2008,7178,14413424
Faridabad,1,1,2,2921,10052,29361892
Faridabad,2,3,2,1209,6734,8141406
Ghaziabad,2,1,3,1723,10116,17429868
Ghaziabad,4,3,1,1612,14404,23219248
Ghaziabad,5,1,2,1791,14544,26048304
Faridabad,3,4,2,988,7568,7477184
Ghaziabad,1,2,1,2061,13847,28538667
Ghaziabad,4,1,2,546,13771,7518966
Kolkata,5,3,0,1277,6203,7921231
Delhi,4,4,0,1539,5390,8295210
Gurgaon,5,1,1,1210,5742,6947820
Noida,5,1,3,900,5925,5332500
Gurgaon,3,4,3,2317,4619,10702223
Delhi,5,1,1,749,5274,3950226
Noida,4,2,1,890,4956,4410840
Ahmedabad,5,1,0,834,5939,4953126
Ghaziabad,3,2,3,1128,7953,8970984
Delhi,3,2,2,636,14573,9268428
Kolkata,4,4,0,2021,4968,10040328
Ahmedabad,2,1,1,1326,13508,17911608
Ghaziabad,2,4,3,1226,13235,16226110
Faridabad,5,1,2,2000,4281,8562000
Greater Noida,1,1,2,1489,10262,15280118
Delhi,5,3,0,2919,5058,14764302
Faridabad,4,1,3,1434,8293,11892162
Delhi,4,4,3,901,14724,13266324
Kolkata,4,2,1,1966,9178,18043948
Delhi,4,1,3,1114,10980,12231720
Faridabad,4,3,3,1796,13200,23707200
Kolkata,3,4,0,1682,5229,8795178
Noida,2,1,3,2735,13227,36175845
Gurgaon,4,4,2,1621,8585,13916285
Ghaziabad,1,3,0,630,12467,7854210
Delhi,1,3,0,1694,6740,11417560
Ghaziabad,1,4,1,682,6289,4289098
Greater Noida,1,1,3,863,5239,4521257
Faridabad,3,2,1,538,9370,5041060
Ghaziabad,1,3,2,1872,4125,7722000
Faridabad,4,1,0,1420,11473,16291660
Ghaziabad,5,1,0,515,13400,6901000
Gurgaon,1,2,0,992,9342,9267264
Gurgaon,3,3,2,1949,11351,22123099
Kolkata,3,3,2,1631,10638,17350578
Gurgaon,1,1,1,810,10570,8561700
Kolkata,5,1,1,1238,7249,8974262
Gurgaon,1,2,1,1045,13110,13699950
Gurgaon,3,2,3,2961,11595,34332795
Gurgaon,2,3,0,750,10294,7720500
Faridabad,4,4,0,1258,10527,13242966
Delhi,3,3,1,2304,9757,22480128
Kolkata,1,1,0,1797,5969,10726293
Ghaziabad,4,3,1,2131,14985,31933035
Gurgaon,1,4,3,2414,4891,11806874
Faridabad,1,2,3,1313,8470,11121110
Faridabad,2,4,2,528,11175,5900400
Faridabad,4,4,3,1457,14225,20725825
Kolkata,4,4,1,2532,13556,34323792
Delhi,2,2,3,976,12320,12024320
Kolkata,3,4,2,817,13206,10789302
Ghaziabad,1,4,0,744,13991,10409304
Delhi,5,4,1,1247,10812,13482564
Noida,1,1,0,1196,11519,13776724
Ahmedabad,1,4,2,771,8612,6639852
Faridabad,3,2,2,2271,13710,31135410
Kolkata,1,4,2,1762,5198,9158876
Noida,2,4,0,2924,9238,27011912
Greater Noida,2,2,0,765,14666,11219490
Kolkata,4,4,0,1420,10089,14326380
Gurgaon,5,2,0,839,10257,8605623
Ahmedabad,1,4,2,888,11705,10394040
Gurgaon,1,2,2,2550,7719,19683450
Delhi,3,4,1,1665,4302,7162830
Ahmedabad,2,4,1,875,4986,4362750
Kolkata,5,1,0,2533,14055,35601315
Ghaziabad,4,1,3,2871,8440,24231240
Noida,2,4,3,645,8909,5746305
Ghaziabad,4,4,2,2481,7072,17545632
Kolkata,3,3,2,792,7124,5642208
Delhi,3,2,2,931,13519,12586189
Gurgaon,1,3,1,1204,14600,17578400
Ahmedabad,5,1,1,2498,12125,30288250
Ghaziabad,4,1,2,898,7291,6547318
Kolkata,2,1,2,1463,8033,11752279
Ghaziabad,3,1,2,2734,9105,24893070
Kolkata,1,4,3,2541,4703,11950323
Gurgaon,1,1,1,2328,12133,28245624
Ahmedabad,4,4,3,2608,4574,11928992
Noida,3,4,3,1438,9704,13954352
Gurgaon,5,1,2,1209,11848,14324232
Ghaziabad,3,1,2,1306,9208,12025648
Noida,4,2,0,1963,10924,21443812
Kolkata,4,3,0,1825,14824,27053800
Noida,3,1,3,510,7828,3992280
Kolkata,4,2,1,1585,7230,11459550
Gurgaon,3,2,2,2368,4488,10627584
Ghaziabad,2,3,2,2773,11114,30819122
Delhi,3,4,3,1271,13539,17208069
Ghaziabad,3,1,0,2094,7173,15020262
Kolkata,4,3,1,2107,5667,11940369
Faridabad,4,1,0,1833,13829,25348557
Ahmedabad,1,2,0,1384,8114,11229776
Greater Noida,1,2,0,1889,7553,14267617
Delhi,2,4,0,725,11761,8526725
Noida,1,2,2,1324,5000,6620000
Delhi,3,2,2,2765,13042,36061130
Ahmedabad,4,3,0,1436,5388,7737168
Noida,1,1,1,2806,9450,26516700
Ahmedabad,1,1,3,2411,7712,18593632
Noida,2,3,1,2296,5367,12322632
Delhi,2,4,1,553,12189,6740517
Noida,3,1,1,1226,13013,15953938
Noida,4,2,0,2044,4454,9103976
Faridabad,2,1,2,1543,13816,21318088
Ghaziabad,1,2,1,2413,6772,16340836
Ghaziabad,4,4,0,2276,7726,17584376
Greater Noida,4,3,1,2096,11232,23542272
Greater Noida,1,1,1,2414,8806,21257684
Kolkata,2,3,0,2966,6190,18359540
Kolkata,1,1,2,1349,13108,17682692
Kolkata,4,2,2,2609,6875,17936875
Faridabad,5,3,3,2763,9592,26502696
Greater Noida,5,1,0,502,5440,2730880
Ahmedabad,3,2,3,659,12927,8518893
Kolkata,1,3,3,1280,10059,12875520
Kolkata,1,3,3,1392,11010,15325920
Delhi,3,1,2,2530,11117,28126010
Gurgaon,3,1,0,2876,13153,37828028
Ahmedabad,3,1,3,1079,6989,7541131
Kolkata,4,2,0,2433,13218,32159394
Kolkata,1,1,0,1880,10228,19228640
Kolkata,4,3,2,1790,10471,18743090
Gurgaon,3,3,3,2140,6863,14686820
Gurgaon,1,1,3,1451,14693,21319543
Faridabad,4,1,0,1487,14139,21024693
Ahmedabad,4,4,1,1718,5177,8894086
Faridabad,3,3,2,1420,8760,12439200
Noida,1,2,2,1855,4011,7440405
Gurgaon,3,4,2,669,9252,6189588
Delhi,1,1,2,1020,8399,8566980
Greater Noida,5,1,3,1986,12234,24296724
Delhi,2,3,3,539,13135,7079765
Greater Noida,2,1,1,2060,14582,30038920
Gurgaon,2,2,2,1918,9445,18115510
Gurgaon,3,3,2,1454,14737,21427598
Gurgaon,5,1,0,1483,14603,21656249
Faridabad,1,3,3,1474,10570,15580180
Ahmedabad,4,1,2,537,13196,7086252
Greater Noida,1,1,1,2875,12212,35109500
Ahmedabad,4,1,1,1774,4406,7816244
Faridabad,1,2,3,1699,13206,22436994
Faridabad,5,2,1,2125,8431,17915875
Ghaziabad,4,3,1,1413,14030,19824390
Delhi,3,1,3,953,9243,8808579
Delhi,1,1,2,536,10542,5650512
Noida,1,2,2,2211,10936,24179496
Kolkata,4,1,1,1295,12906,16713270
Faridabad,3,2,1,1472,8146,11990912
Greater Noida,3,1,2,1092,4140,4520880
Ghaziabad,5,3,3,1637,8882,14539834
Ghaziabad,3,1,1,1824,10012,18261888
Kolkata,3,1,0,2771,4963,13752473
Ahmedabad,3,4,3,817,11151,9110367
Kolkata,2,2,1,2896,12564,36385344
Kolkata,5,1,1,2662,14733,39219246
Kolkata,1,1,0,1846,7610,14048060
Delhi,4,4,0,2091,13884,29031444
Faridabad,1,4,2,2389,10894,26025766
Noida,5,2,3,2587,11311,29261557
Faridabad,4,4,3,2496,4105,10246080
Ahmedabad,5,3,2,2272,9539,21672608
Gurgaon,3,4,3,1812,13873,25137876
Kolkata,4,3,3,1785,14828,26467980
Faridabad,3,2,3,715,10787,7712705
Ahmedabad,1,2,3,2883,6137,17692971
Gurgaon,1,2,3,2639,8445,22286355
Gurgaon,4,2,0,2900,7530,21837000
Kolkata,4,2,3,2204,5286,11650344
Noida,5,3,0,862,11052,9526824
Greater Noida,5,3,3,2216,7654,16961264
Delhi,3,2,2,1693,11102,18795686
Faridabad,4,4,1,855,6359,5436945
Gurgaon,1,1,0,690,12105,8352450
Faridabad,5,2,3,2969,12636,37516284
Greater Noida,5,4,2,1199,10441,12518759
Delhi,1,1,1,2554,9047,23106038
Greater Noida,5,2,0,2680,12227,32768360
Delhi,3,2,1,1056,9203,9718368
Ghaziabad,4,3,2,1325,13667,18108775
Delhi,1,1,0,1554,5798,9010092
Kolkata,4,1,1,925,14037,12984225
Noida,5,4,3,2910,13600,39576000
Greater Noida,5,3,0,2074,9291,19269534
Gurgaon,1,3,1,2629,9495,24962355
Kolkata,3,3,2,2903,13900,40351700
Ghaziabad,2,3,2,1088,10284,11188992
Noida,1,1,0,2512,11285,28347920
Faridabad,2,1,1,2047,5300,10849100
Kolkata,2,2,0,794,10869,8629986
Greater Noida,3,2,0,2485,13435,33385975
Ahmedabad,2,3,1,1747,7097,12398459
Ahmedabad,2,3,1,2048,8616,17645568
Gurgaon,3,3,3,2190,4009,8779710
Delhi,2,2,1,1636,14617,23913412
Gurgaon,2,4,2,1756,9752,17124512
Ahmedabad,2,4,0,2564,13852,35516528
Faridabad,1,2,0,859,14823,12732957
Ghaziabad,1,2,2,1199,10295,12343705
Ghaziabad,1,2,1,947,8815,8347805
Greater Noida,3,2,2,2912,5072,14769664
Ghaziabad,5,2,2,1174,7225,8482150
Greater Noida,2,2,3,1507,5316,8011212
Kolkata,2,3,2,1849,9699,17933451
Greater Noida,3,3,0,2961,10807,31999527
Kolkata,2,3,2,1085,10674,11581290
Greater Noida,1,3,0,1756,7683,13491348
Ahmedabad,5,2,0,1747,11227,19613569
Ahmedabad,4,4,0,1493,7273,10858589
Delhi,2,1,1,1935,11000,21285000
Kolkata,1,2,3,1071,4145,4439295
Noida,4,1,0,2882,9010,25966820
Kolkata,5,4,0,1745,7040,12284800
Greater Noida,4,3,1,2584,13654,35281936
Greater Noida,1,4,0,1488,13776,20498688
Noida,4,2,2,777,4482,3482514
Gurgaon,3,3,2,1719,7179,12340701
Greater Noida,4,2,3,2387,5249,12529363
Delhi,2,3,0,983,4630,4551290
Ghaziabad,2,1,1,1765,12853,22685545
Ghaziabad,3,1,2,1230,6852,8427960
Faridabad,1,1,1,2739,14658,40148262
Faridabad,2,4,1,1540,4987,7679980
Ghaziabad,5,2,2,1417,11622,16468374
Ghaziabad,2,4,1,2948,11327,33391996
Ahmedabad,2,1,2,1385,13738,19027130
Delhi,1,2,1,521,12841,6690161
Noida,4,1,2,973,13160,12804680
Faridabad,2,4,0,2757,14829,40883553
Ahmedabad,3,4,3,2853,5100,14550300
Ahmedabad,4,4,2,1203,10652,12814356
Noida,5,1,2,1186,12632,14981552
Ahmedabad,1,2,3,784,11421,8954064
Kolkata,5,2,2,1215,9016,10954440
Delhi,4,1,2,1262,4769,6018478
Ghaziabad,4,2,1,1750,5343,9350250
Greater Noida,4,1,3,1447,8358,12094026
Noida,5,2,0,2928,13769,40315632
Ghaziabad,4,3,2,1530,10780,16493400
Ghaziabad,5,3,3,528,10602,5597856
Gurgaon,4,4,1,1406,6349,8926694
Kolkata,3,3,0,2626,9699,25469574
Noida,4,3,3,1069,5241,5602629
Ahmedabad,5,3,0,2506,5125,12843250
Greater Noida,2,1,0,1953,14793,28890729
Noida,4,3,0,1237,13382,16553534
Ahmedabad,2,3,2,1015,10764,10925460
Ghaziabad,3,4,2,2500,9101,22752500
Greater Noida,1,3,1,2944,11843,34865792
Ahmedabad,3,3,1,538,4072,2190736
Delhi,4,2,3,1386,9472,13128192
Ahmedabad,2,4,1,2704,14106,38142624
Gurgaon,2,4,0,1598,9189,14684022
Kolkata,5,4,0,2323,6472,15034456
Ghaziabad,2,4,2,2210,4707,10402470
Ahmedabad,5,4,0,1473,5804,8549292
Kolkata,1,4,3,2062,10704,22071648
Faridabad,4,1,0,1488,7713,11476944
Faridabad,5,3,0,520,9051,4706520
Kolkata,1,4,3,2850,14756,42054600
Kolkata,2,3,1,1368,6475,8857800
Gurgaon,2,3,1,583,7610,4436630
Delhi,1,1,3,2182,8255,18012410
Ghaziabad,2,4,2,2476,11397,28218972
Noida,1,2,0,1910,5735,10953850
Gurgaon,5,1,3,2030,13777,27967310
Delhi,5,2,0,1069,12258,13103802
Kolkata,1,3,2,1433,11979,17165907
Noida,5,3,0,2480,6428,15941440
Kolkata,5,1,3,2355,11426,26908230
Kolkata,5,1,0,1292,12533,16192636
Faridabad,3,2,1,1291,9249,11940459
Faridabad,4,4,2,2309,14966,34556494
Noida,2,2,2,1794,9291,16668054
Gurgaon,3,1,2,2755,6817,18780835
Faridabad,5,2,3,2107,14853,31295271
Ghaziabad,1,1,2,1583,13424,21250192
Kolkata,5,2,1,2977,7874,23440898
Greater Noida,4,1,3,1484,14593,21656012
Ahmedabad,5,1,1,2180,13686,29835480
Noida,1,1,0,1019,8211,8367009
Noida,4,4,0,1090,4661,5080490
Faridabad,5,2,0,1550,14060,21793000
Gurgaon,4,2,0,2209,14526,32087934
Kolkata,2,2,1,2535,7374,18693090
Ghaziabad,2,1,3,2746,13208,36269168
Gurgaon,5,2,3,2934,4207,12343338
Delhi,4,2,2,848,6665,5651920
Delhi,1,1,1,1459,6493,9473287
Greater Noida,5,3,0,2463,10813,26632419
Faridabad,2,1,1,1192,4632,5521344
Faridabad,2,2,2,2059,14294,29431346
Faridabad,5,1,2,877,7083,6211791
Greater Noida,4,3,1,1026,14123,14490198
Delhi,2,1,1,2753,7719,21250407
Gurgaon,4,2,1,1759,11123,19565357
Greater Noida,2,3,3,2375,14754,35040750
Greater Noida,2,4,0,2263,5679,12851577
Gurgaon,3,2,1,1020,4236,4320720
Faridabad,2,3,1,2201,11446,25192646
Ghaziabad,1,3,1,1516,8443,12799588
Gurgaon,5,4,2,1513,10770,16295010
Delhi,5,1,2,616,13732,8458912
Noida,4,1,3,2933,10099,29620367
Kolkata,2,2,0,1867,12555,23440185
Noida,1,4,3,1083,6368,6896544
Ahmedabad,4,1,0,894,4285,3830790
Ahmedabad,3,4,2,1587,4148,6582876
Greater Noida,4,1,2,571,8037,4589127
Kolkata,4,3,2,773,10549,8154377
Noida,2,1,3,2513,11121,27947073
Ghaziabad,3,4,1,1843,13958,25724594
Faridabad,4,3,1,837,8895,7445115
Delhi,1,3,2,1889,9280,17529920
Ahmedabad,1,3,1,1106,5012,5543272
Ghaziabad,5,4,1,665,14699,9774835
Delhi,3,2,3,2067,13715,28348905
Delhi,3,2,0,2558,6785,17356030
Faridabad,5,2,2,1824,14748,26900352
Kolkata,4,4,2,1228,7725,9486300
Greater Noida,3,3,3,2543,8576,21808768
Noida,1,2,3,601,9782,5878982
Faridabad,1,4,1,1915,10257,19642155
Ghaziabad,2,2,2,1278,13793,17627454
Greater Noida,3,1,0,713,6408,4568904
Ghaziabad,4,2,3,1611,4340,6991740
Greater Noida,5,2,0,2076,6817,14152092
Kolkata,5,3,0,2948,6496,19150208
Ahmedabad,4,4,2,2195,9962,21866590
Ghaziabad,2,3,2,1091,9299,10145209
Faridabad,5,3,3,1833,13917,25509861
Greater Noida,3,3,2,1609,11574,18622566
Greater Noida,2,3,2,2639,5689,15013271
Delhi,3,3,2,1213,7267,8814871
Delhi,1,2,0,1435,8406,12062610
Gurgaon,2,3,3,2451,12453,30522303
Ghaziabad,5,3,1,741,5442,4032522
Delhi,2,4,0,2543,12597,32034171
Gurgaon,2,1,2,501,14382,7205382
Ahmedabad,2,2,0,2772,8437,23387364
Ahmedabad,2,2,2,2268,9435,21398580
Delhi,3,2,2,2449,12435,30453315
Ghaziabad,1,3,0,2663,8107,21588941
Greater Noida,4,3,3,1417,4560,6461520
Noida,2,3,2,2741,14917,40887497
Kolkata,5,4,3,589,12785,7530365
Ghaziabad,2,1,1,2209,9548,21091532
Kolkata,5,3,2,2669,5826,15549594
Faridabad,3,1,3,642,11629,7465818
Ahmedabad,5,4,3,605,12325,7456625
Delhi,4,2,1,1386,7138,9893268
Delhi,1,3,3,927,11693,10839411
Kolkata,5,1,3,1828,12264,22418592
Greater Noida,5,1,1,2395,11842,28361590
Kolkata,1,3,2,2494,10721,26738174
Faridabad,4,2,3,816,11002,8977632
Greater Noida,2,2,3,2486,8225,20447350
Faridabad,5,2,3,1134,6978,7913052
Noida,1,4,0,2425,11373,27579525
Ahmedabad,3,1,1,2556,9907,25322292
Delhi,1,1,0,2770,10097,27968690
Delhi,3,1,1,1939,9656,18722984
Noida,4,4,2,1052,14177,14914204
Gurgaon,2,1,2,1215,12984,15775560
Ahmedabad,1,4,3,1787,8259,14758833
Greater Noida,5,2,1,2213,12286,27188918
Noida,4,3,2,2383,9901,23594083
Greater Noida,1,1,1,1607,13325,21413275
Kolkata,5,1,2,1841,8917,16416197
Ghaziabad,1,2,0,610,12429,7581690
Delhi,3,3,2,750,6530,4897500
Greater Noida,1,4,0,2930,5960,17462800
Faridabad,1,3,2,2554,11045,28208930
Greater Noida,1,2,3,958,5048,4835984
